"max_ms","sellout_sec","tps","strategy","p95_ms","seat_count","value","p99_ms","repeat","http_reqs","label","p50_ms","kind","error_rate","duplicated_seats","sold_seats","tps_spread_pct","pool_size","check_ok_rate","run_id","duration","sweep","vus","excess_reservations"
"270.37","0.003","32.8","none","243.12","1","1","249.9","1","504","경합강도","169.39","run","0","1","10","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","9"
"209.15","0.006","32.8","none","185","1","1","188.41","2","504","경합강도","127.02","run","0","1","10","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","9"
"202.63","0.031","32.9","none","197.27","1","1","202.09","3","504","경합강도","135.47","run","0","1","10","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","9"
"","0.006","32.8","none","197.27","1","1","202.09","0","","경합강도","135.47","median","","","","0.3","10","","20260907-141405","15s","SEAT_COUNT","500","9"
"384.4","0.014","79.1","none","226.31","2","2","292.95","1","1237","경합강도","165.95","run","0.1884","2","9","","10","0.5407","20260907-141405","15s","SEAT_COUNT","500","7"
"299.73","0.029","64.6","none","227.2","2","2","266.46","2","1004","경합강도","188.93","run","0","2","11","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","9"
"263.01","0.011","64.8","none","192.15","2","2","243.49","3","1004","경합강도","169.58","run","0","2","9","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","7"
"","0.014","64.8","none","226.31","2","2","266.46","0","","경합강도","169.58","median","","","","22.4","10","","20260907-141405","15s","SEAT_COUNT","500","7"
"329.96","0.011","167.3","none","205.01","5","5","262.36","1","2689","경합강도","172.91","run","0.0688","4","11","","10","0.6207","20260907-141405","15s","SEAT_COUNT","500","6"
"323.11","0.016","156","none","198.9","5","5","269.43","2","2504","경합강도","183.55","run","0","3","12","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","7"
"262.85","0.031","157.3","none","168.02","5","5","216.86","3","2504","경합강도","153.06","run","0","4","15","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","10"
"","0.016","157.3","none","198.9","5","5","262.36","0","","경합강도","172.91","median","","","","7.2","10","","20260907-141405","15s","SEAT_COUNT","500","7"
"344.78","0.039","321.7","none","207.82","10","10","260.78","1","5122","경합강도","174.25","run","0.023","3","15","","10","0.6513","20260907-141405","15s","SEAT_COUNT","500","5"
"287.73","0.03","336.7","none","176.12","10","10","218.73","2","5284","경합강도","149.93","run","0.053","5","18","","10","0.6313","20260907-141405","15s","SEAT_COUNT","500","8"
"321.7","0.041","318.4","none","198.04","10","10","238.63","3","5004","경합강도","155.71","run","0","5","18","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","8"
"","0.039","321.7","none","198.04","10","10","238.63","0","","경합강도","155.71","median","","","","5.7","10","","20260907-141405","15s","SEAT_COUNT","500","8"
"386.31","0.08","622.3","none","214.71","20","20","258.95","1","10004","경합강도","160.33","run","0","14","38","","10","0.6667","20260907-141405","15s","SEAT_COUNT","500","18"
"253.54","0.054","649.8","none","151.23","20","20","190.48","2","10192","경합강도","126.53","run","0.0184","4","24","","10","0.6544","20260907-141405","15s","SEAT_COUNT","500","4"
