"max_ms","sellout_sec","tps","strategy","p95_ms","seat_count","value","p99_ms","repeat","http_reqs","label","p50_ms","kind","error_rate","duplicated_seats","sold_seats","tps_spread_pct","pool_size","check_ok_rate","run_id","duration","sweep","vus","excess_reservations"
"185.04","0.005","32.9","none","178.99","1","1","185.03","1","504","경합강도","118.97","run","0","1","10","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","9"
"160.98","0.005","32.9","none","156.19","1","1","159.43","2","504","경합강도","110.99","run","0","1","10","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","9"
"187.45","0.047","37.6","none","159.6","1","1","176.25","3","575","경합강도","116.1","run","0.1235","1","10","","10","0.5838","20260907-151858","15s","SEAT_COUNT","500","9"
"","0.005","32.9","none","159.6","1","1","176.25","0","","경합강도","116.1","median","","","","14.3","10","","20260907-151858","15s","SEAT_COUNT","500","9"
"210.5","0.002","79.7","none","147.37","2","2","163.9","1","1235","경합강도","112.49","run","0.187","2","10","","10","0.5416","20260907-151858","15s","SEAT_COUNT","500","8"
"277.82","0.016","73.3","none","160.31","2","2","213.8","2","1134","경합강도","125.29","run","0.1146","2","10","","10","0.59","20260907-151858","15s","SEAT_COUNT","500","8"
"169.55","0.008","65.2","none","167.69","2","2","169","3","1004","경합강도","136.67","run","0","2","10","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","8"
"","0.008","73.3","none","160.31","2","2","169","0","","경합강도","125.29","median","","","","19.8","10","","20260907-151858","15s","SEAT_COUNT","500","8"
"289.15","0.041","157.3","none","170.62","5","5","191.64","1","2504","경합강도","158.55","run","0","5","17","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","12"
"172.19","0.017","172.4","none","160.72","5","5","165.17","2","2733","경합강도","131.77","run","0.0838","3","12","","10","0.6107","20260907-151858","15s","SEAT_COUNT","500","7"
"189.76","0.036","158.4","none","157.66","5","5","173.58","3","2504","경합강도","129.7","run","0","4","14","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","9"
"","0.036","158.4","none","160.72","5","5","173.58","0","","경합강도","131.77","median","","","","9.5","10","","20260907-151858","15s","SEAT_COUNT","500","9"
"270.45","0.037","320.1","none","173.08","10","10","187.56","1","5004","경합강도","146.84","run","0","5","16","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","6"
"227.51","0.036","323","none","162.65","10","10","175.72","2","5004","경합강도","134.25","run","0","2","13","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","3"
"185.02","0.035","334.5","none","139.53","10","10","148.08","3","5145","경합강도","122.39","run","0.0274","7","21","","10","0.6484","20260907-151858","15s","SEAT_COUNT","500","11"
"","0.036","323","none","162.65","10","10","175.72","0","","경합강도","134.25","median","","","","4.5","10","","20260907-151858","15s","SEAT_COUNT","500","6"
"252.95","0.053","633.9","none","153.06","20","20","174.63","1","10004","경합강도","132.21","run","0","8","30","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","10"
"229.98","0.036","637.9","none","132.05","20","20","150.5","2","10249","경합강도","107.55","run","0.0239","8","30","","10","0.6507","20260907-151858","15s","SEAT_COUNT","500","10"
"152.33","0.032","639.8","none","91.36","20","20","114.54","3","10033","경합강도","77.78","run","0.0029","6","28","","10","0.6647","20260907-151858","15s","SEAT_COUNT","500","8"
"","0.036","637.9","none","132.05","20","20","150.5","0","","경합강도","107.55","median","","","","0.9","10","","20260907-151858","15s","SEAT_COUNT","500","10"
"188.82","0.107","1622.9","none","133.4","50","50","139.67","1","25004","경합강도","72.07","run","0","11","62","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","12"
"157.63","0.108","1597.8","none","86.82","50","50","101.44","2","25215","경합강도","71.57","run","0.0084","12","66","","10","0.6611","20260907-151858","15s","SEAT_COUNT","500","16"
"144.65","0.099","1598.7","none","85.42","50","50","98.53","3","25102","경합강도","69.94","run","0.0039","14","64","","10","0.6641","20260907-151858","15s","SEAT_COUNT","500","14"
"","0.107","1598.7","none","86.82","50","50","101.44","0","","경합강도","71.57","median","","","","1.6","10","","20260907-151858","15s","SEAT_COUNT","500","14"
"199.01","0.191","3187.6","none","119.35","100","100","139.88","1","50027","경합강도","68.97","run","0.0005","12","112","","10","0.6664","20260907-151858","15s","SEAT_COUNT","500","12"
"390.2","0.211","3345.7","none","78.17","100","100","95.66","2","53716","경합강도","67.63","run","0.0691","10","110","","10","0.6206","20260907-151858","15s","SEAT_COUNT","500","10"
"138.35","0.137","3117.4","none","80.78","100","100","96.54","3","50008","경합강도","68.2","run","0.0001","15","117","","10","0.6666","20260907-151858","15s","SEAT_COUNT","500","17"
"","0.191","3187.6","none","80.78","100","100","96.54","0","","경합강도","68.2","median","","","","7.2","10","","20260907-151858","15s","SEAT_COUNT","500","12"
"261.31","0.436","6475.1","none","92.8","200","200","126.31","1","100004","경합강도","68.51","run","0","10","210","","10","0.6667","20260907-151858","15s","SEAT_COUNT","500","10"
"179.94","0.333","6404.6","none","89.3","200","200","104.39","2","100054","경합강도","70.8","run","0.0005","12","213","","10","0.6663","20260907-151858","15s","SEAT_COUNT","500","13"
