"max_ms","sellout_sec","tps","strategy","p95_ms","seat_count","value","p99_ms","repeat","http_reqs","label","p50_ms","kind","error_rate","duplicated_seats","sold_seats","tps_spread_pct","pool_size","check_ok_rate","run_id","duration","sweep","vus","excess_reservations"
"89.49","0.005","13.4","none","65.23","1","1","73","1","204","경합강도","49.17","run","0","1","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","9"
"76.87","0.002","13.4","none","63","1","1","65.73","2","204","경합강도","48.18","run","0","1","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","9"
"76.59","0.007","13.4","none","65.12","1","1","76.07","3","204","경합강도","48.01","run","0","1","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","9"
"","0.005","13.4","none","65.12","1","1","73","0","","경합강도","48.18","median","","","","0","10","","20260907-162643","15s","SEAT_COUNT","200","9"
"135.97","0.002","26.4","none","98.48","2","2","106.06","1","404","경합강도","78.62","run","0","2","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","8"
"131.74","0.003","26.5","none","75.7","2","2","126.73","2","404","경합강도","66.05","run","0","2","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","8"
"104.96","0.009","26.5","none","83.36","2","2","88.26","3","404","경합강도","60.22","run","0","2","11","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","9"
"","0.003","26.5","none","83.36","2","2","106.06","0","","경합강도","66.05","median","","","","0.4","10","","20260907-162643","15s","SEAT_COUNT","200","8"
"153.52","0.002","64.7","none","82.8","5","5","83.3","1","1004","경합강도","77.49","run","0","4","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","5"
"204.17","0","65","none","80.93","5","5","127.09","2","1004","경합강도","64.78","run","0","5","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","5"
"134.87","0.002","65.1","none","81.3","5","5","99.78","3","1004","경합강도","60.43","run","0","3","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","5"
"","0.002","65","none","81.3","5","5","99.78","0","","경합강도","64.78","median","","","","0.6","10","","20260907-162643","15s","SEAT_COUNT","200","5"
"192.24","0.027","126.8","none","77.73","10","10","82.17","1","2004","경합강도","69.77","run","0","4","17","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","7"
"243.36","0.027","127.8","none","74.32","10","10","134.18","2","2004","경합강도","54.16","run","0","6","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","10"
"122.92","0.029","127.7","none","71.06","10","10","108.03","3","2004","경합강도","59.22","run","0","6","21","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","11"
"","0.027","127.7","none","74.32","10","10","108.03","0","","경합강도","59.22","median","","","","0.8","10","","20260907-162643","15s","SEAT_COUNT","200","10"
"143.11","0.033","261.7","none","68.11","20","20","98.75","1","4004","경합강도","59.39","run","0","5","26","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","6"
"158.34","0.041","262.1","none","85.75","20","20","110.61","2","4004","경합강도","56.99","run","0","10","34","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","14"
"138.26","0.032","249.4","none","66.12","20","20","69.12","3","4004","경합강도","52.55","run","0","6","29","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","9"
"","0.033","261.7","none","68.11","20","20","98.75","0","","경합강도","56.99","median","","","","4.9","10","","20260907-162643","15s","SEAT_COUNT","200","9"
"194.08","0.117","632.4","none","67.28","50","50","103.96","1","10004","경합강도","51.87","run","0","9","59","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","9"
"156.85","0.067","646.7","none","57.9","50","50","68.34","2","10004","경합강도","47.49","run","0","7","57","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","7"
"106.32","0.088","640.7","none","45.32","50","50","63.65","3","10004","경합강도","28.86","run","0","13","63","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","13"
"","0.088","640.7","none","57.9","50","50","68.34","0","","경합강도","47.49","median","","","","2.2","10","","20260907-162643","15s","SEAT_COUNT","200","9"
"179.76","0.165","1293.8","none","59.54","100","100","90.36","1","20004","경합강도","44.51","run","0","10","111","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","11"
"121.79","0.12","1247.7","none","36.97","100","100","58.8","2","20004","경합강도","28.74","run","0","12","112","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","12"
"117.55","0.139","1251.1","none","40.46","100","100","57.64","3","20004","경합강도","28.01","run","0","13","114","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","14"
"","0.139","1251.1","none","40.46","100","100","58.8","0","","경합강도","28.74","median","","","","3.7","10","","20260907-162643","15s","SEAT_COUNT","200","12"
