"pool_size","duration","p99_ms","repeat","sellout_sec","p50_ms","db_active","excess_reservations","http_reqs","duplicated_seats","run_id","vus","sweep","strategy","pool_timeouts","kind","seat_count","label","error_rate","usage_ms","tps_spread_pct","check_ok_rate","tps","db_cpu_pct","sold_seats","max_ms","db_conns","acquire_ms","p95_ms","value"
"5","15s","109.89","1","1.485","51.62","1.1","0","55916","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.018","","0.6667","3695.4","43.4","500","330.87","6","51.82","67.13","5"
"5","15s","112.85","2","1.017","50.51","1","0","57216","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.004","","0.6667","3786.2","44.1","500","289.24","6","50.65","64.8","5"
"5","15s","102.45","3","1.053","50.02","1","0","58093","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","0.992","","0.6667","3841.6","42.7","500","283.95","6","49.898","62.94","5"
"5","15s","109.89","0","1.053","50.51","1","0","","","20260907-201330","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-4코어","","1.004","3.9","","3786.2","43.4","","","6","50.65","64.8","5"
"10","15s","62.9","1","0.762","29.36","1","0","98345","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.074","","0.6667","6115.7","80.1","500","177.86","11","28.412","42.71","10"
"10","15s","60.83","2","0.762","28.47","1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.052","","0.6667","6299.8","78.4","500","169.52","11","27.34","43.33","10"
"10","15s","62.4","3","0.916","29.21","1.2","0","99481","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.061","","0.6667","6192.7","75.5","500","157.05","11","27.994","39.91","10"
"10","15s","62.4","0","0.762","29.21","1","0","","","20260907-201330","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-4코어","","1.061","3","","6192.7","78.4","","","11","27.994","42.71","10"
"20","15s","59.11","1","0.636","20.87","1","0","100005","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.689","","0.6667","6216.4","80.1","500","147.18","21","19.186","40.21","20"
"20","15s","55.18","2","0.492","20.82","1.3","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.633","","0.6667","6250.2","88","500","156.79","21","18.743","39.32","20"
"20","15s","53.63","3","0.596","20.73","1.4","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","1.607","","0.6667","6286.5","86.3","500","141.05","21","18.527","39.29","20"
"20","15s","55.18","0","0.596","20.82","1.3","0","","","20260907-201330","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-4코어","","1.633","1.1","","6250.2","86.3","","","21","18.743","39.32","20"
"30","15s","52.02","1","0.537","19.42","1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","2.624","","0.6667","6405.5","87.3","500","137.19","31","16.871","36.53","30"
"30","15s","51.58","2","0.473","19.34","1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","2.545","","0.6667","6221.6","85.4","500","134.36","31","16.448","36.82","30"
"30","15s","50.1","3","0.354","19.51","1.1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","2.522","","0.6667","6222.3","92.6","500","122.55","31","16.315","36.53","30"
"30","15s","51.58","0","0.473","19.42","1","0","","","20260907-201330","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-4코어","","2.545","3","","6222.3","87.3","","","31","16.448","36.53","30"
"50","15s","48.6","1","0.599","19.67","2","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","4.692","","0.6667","6433","99.2","500","124.78","51","14.478","35.29","50"
