"vus","p50_ms","value","duration","pool_size","label","seat_count","sweep","http_reqs","tps","kind","run_id","repeat","p99_ms","max_ms","excess_reservations","p95_ms","check_ok_rate","duplicated_seats"
"30","7.33","1","8s","10","경합강도","1","SEAT_COUNT","31752","3930.9","run","20260902-043208","1","14.75","48.18","9","11.25","0.6667","1"
"30","5.75","1","8s","10","경합강도","1","SEAT_COUNT","40632","5032.9","run","20260902-043208","2","10.02","49.35","9","8.39","0.6667","1"
"30","5.75","1","8s","10","경합강도","1","SEAT_COUNT","41161","5097.9","run","20260902-043208","3","9.59","46.94","9","8.23","0.6667","1"
"30","5.75","1","8s","10","경합강도","1","SEAT_COUNT","","5032.9","median","20260902-043208","0","10.02","","9","8.39","",""
"30","6.92","5","8s","10","경합강도","5","SEAT_COUNT","32100","3967.5","run","20260902-043208","1","16.86","48.2","45","11.16","0.6667","5"
"30","5.79","5","8s","10","경합강도","5","SEAT_COUNT","39484","4891.5","run","20260902-043208","2","10.43","47.71","24","8.56","0.6667","4"
"30","5.79","5","8s","10","경합강도","5","SEAT_COUNT","40023","4960.5","run","20260902-043208","3","10.29","45.92","45","8.41","0.6667","5"
"30","5.79","5","8s","10","경합강도","5","SEAT_COUNT","","4891.5","median","20260902-043208","0","10.43","","45","8.56","",""
"30","7.67","20","8s","10","경합강도","20","SEAT_COUNT","28428","3515.5","run","20260902-043208","1","22.04","67.16","147","14.9","0.6667","19"
"30","5.78","20","8s","10","경합강도","20","SEAT_COUNT","40646","5035.4","run","20260902-043208","2","10.58","47.58","113","8.53","0.6667","19"
"30","5.8","20","8s","10","경합강도","20","SEAT_COUNT","40470","5014.4","run","20260902-043208","3","10.67","47.49","127","8.53","0.6667","17"
"30","5.8","20","8s","10","경합강도","20","SEAT_COUNT","","5014.4","median","20260902-043208","0","10.67","","127","8.53","",""
"30","5.79","20","15s","10","노이즈플로어","20","SEAT_COUNT","73152","4852.3","run","20260902-213651","1","12.21","48.29","154","8.95","0.6667","20"
"30","5.79","20","15s","10","노이즈플로어","20","SEAT_COUNT","74818","4950.2","run","20260902-213651","2","10.31","48.12","130","8.48","0.6667","18"
"30","5.79","20","15s","10","노이즈플로어","20","SEAT_COUNT","75086","4982.6","run","20260902-213651","3","10.17","46.64","135","8.45","0.6667","17"
"30","5.78","20","15s","10","노이즈플로어","20","SEAT_COUNT","75303","4996.3","run","20260902-213651","4","9.99","47.59","93","8.39","0.6667","15"
"30","5.77","20","15s","10","노이즈플로어","20","SEAT_COUNT","75112","4983.4","run","20260902-213651","5","9.98","48.35","107","8.38","0.6667","18"
"30","5.79","20","15s","10","노이즈플로어","20","SEAT_COUNT","","4982.6","median","20260902-213651","0","10.17","","130","8.45","",""
